model,accuracy,macro_f1,uar,war,weighted_f1,parameters,training_time_sec,best_val_macro_f1
MFCC + LSTM,1.0,1.0,1.0,1.0,1.0,833287,54.96851897239685,1.0
MFCC + CNN-BiLSTM,0.9976190476190476,0.9976188822636493,0.9976190476190476,0.9976190476190476,0.9976188822636493,924231,157.71464800834656,1.0
Wav2Vec2-XLS-R-300M,0.1976190476190476,0.0885924602774456,0.1976190476190476,0.1976190476190476,0.0885924602774456,315445895,2314.449590921402,0.0883751389194043
Wav2Vec2,1.0,1.0,1.0,1.0,1.0,94377095,2689.163618087769,1.0
HuBERT,1.0,1.0,1.0,1.0,1.0,94377095,2985.2019221782684,1.0
WavLM,1.0,1.0,1.0,1.0,1.0,94387319,4183.4600481987,1.0
emotion2vec+,1.0,1.0,1.0,1.0,1.0,94377095,2707.6034648418427,1.0
BEATs,0.9976190476190476,0.9976188822636493,0.9976190476190476,0.9976190476190476,0.9976188822636493,94387319,3701.238781929016,0.995217417405399
