model,angry,disgust,fearful,happy,neutral,sad
BEATs,0.717391304347826,0.6160919540229886,0.5914634146341463,0.5347222222222222,0.740983606557377,0.5131578947368421
HuBERT,0.8228882833787466,0.6216216216216216,0.6905829596412556,0.6894865525672371,0.8070175438596491,0.694006309148265
MFCC + CNN-BiLSTM,0.7650602409638554,0.6282420749279539,0.5414634146341464,0.6075268817204301,0.6836363636363636,0.609375
MFCC + LSTM,0.72,0.5579937304075235,0.4925373134328358,0.5810055865921788,0.6319218241042345,0.6161369193154034
Wav2Vec2,0.8387096774193549,0.6840579710144927,0.5885057471264368,0.6408450704225352,0.7612456747404844,0.676056338028169
Wav2Vec2-XLS-R-300M,0.5396825396825397,0.0,0.0,0.2679738562091503,0.0,0.0
WavLM,0.7767441860465116,0.6416861826697893,0.6329787234042553,0.5755395683453237,0.7655172413793103,0.5579937304075235
emotion2vec+,0.8387096774193549,0.6840579710144927,0.5885057471264368,0.6408450704225352,0.7612456747404844,0.676056338028169
