model,accuracy,macro_f1,uar,war,weighted_f1,parameters,training_time_sec,best_val_macro_f1
MFCC + LSTM,0.5962264150943396,0.599932562308696,0.5969345927642131,0.5962264150943396,0.5991479200382394,833030,602.419862985611,0.5163073953815007
MFCC + CNN-BiLSTM,0.6330188679245283,0.6392173293137915,0.6323828194617716,0.6330188679245283,0.6381278058304077,923974,723.1565141677856,0.5394739570862005
Wav2Vec2-XLS-R-300M,0.2443396226415094,0.1346093993152816,0.2384898710865561,0.2443396226415094,0.1379111392984867,315444870,6919.488762140274,0.1263127622861768
Wav2Vec2,0.6924528301886792,0.6982367464585789,0.692865205251589,0.6924528301886792,0.696691244444117,94376326,7423.679640054703,0.6382588111762196
HuBERT,0.719811320754717,0.7209338783694625,0.7203409968514228,0.719811320754717,0.7188223922347976,94376326,16092.918454170229,0.6099572437380629
WavLM,0.6632075471698113,0.6584099387087856,0.6644745440503773,0.6632075471698113,0.655782778454603,94386550,6089.1631071567535,0.5775131987528647
emotion2vec+,0.6924528301886792,0.6982367464585789,0.692865205251589,0.6924528301886792,0.696691244444117,94376326,9304.806258916857,0.6382588111762196
BEATs,0.6264150943396226,0.6189683994202337,0.6288718588486901,0.6264150943396226,0.6159755735847943,94386550,39911.67545127869,0.4956277912263325
