epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_uar,val_war,epoch_time_sec
1,1.944314297851251,0.15357142857142858,0.0,1.9337979396184286,0.20238095238095238,0.1382114442077291,0.1382114442077291,0.20238095238095238,0.20238095238095238,305.6944320201874
2,1.8969878211313365,0.3040816326530612,0.0,1.8474227882566907,0.45714285714285713,0.44366616388734176,0.44366616388734187,0.4571428571428572,0.45714285714285713,266.98785281181335
3,1.6498855696648969,0.6311224489795918,0.0,1.3054237768763588,0.7690476190476191,0.7582082626555696,0.7582082626555695,0.7690476190476191,0.7690476190476191,266.07693219184875
4,0.956450923790737,0.8586734693877551,0.0,0.4138470021032152,0.9809523809523809,0.980920028809224,0.9809200288092239,0.980952380952381,0.9809523809523809,257.78588604927063
5,0.21579434270305292,0.9903061224489796,0.0,0.03776816010829948,1.0,1.0,1.0,1.0,1.0,260.74933385849
6,0.03125185961169856,0.9974489795918368,0.0,0.011528207264131023,0.9976190476190476,0.9976188822636493,0.9976188822636493,0.9976190476190476,0.9976190476190476,261.45514488220215
7,0.015043190492279068,0.9989795918367347,0.0,0.003954698899317355,1.0,1.0,1.0,1.0,1.0,261.82070684432983
8,0.005921854176178422,1.0,0.0,0.002358727738083828,1.0,1.0,1.0,1.0,1.0,259.5957932472229
9,0.003865423431734041,1.0,0.0,0.0015938699389586137,1.0,1.0,1.0,1.0,1.0,260.01979088783264
10,0.0027465376841398527,1.0,0.0,0.0011499667933787263,1.0,1.0,1.0,1.0,1.0,262.7625427246094
