model,model_key,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,uar,war,parameters,trainable_parameters,training_time_sec,inference_time_sec,best_epoch,best_val_macro_f1
WavLM (Transfer from CREMAD),wavlm,0.4916666666666666,0.3555640894350572,0.4619047619047619,0.375261348917378,0.404868578255675,0.4916666666666666,0.4188709216820162,0.4619047619047619,0.4916666666666666,94387331,5395,934.157648086548,32.873964071273804,17,0.0942616547931508
HuBERT (Transfer from CREMAD),hubert,0.4583333333333333,0.4137362637362637,0.3809523809523809,0.3418742699594112,0.4197115384615385,0.4583333333333333,0.3780873546355375,0.3809523809523809,0.4583333333333333,94377107,5395,830.7152948379517,25.96742868423462,20,0.1256053268765133
HuBERT (Transfer from CREMAD),hubert,0.2583333333333333,0.0633848133848133,0.1523809523809523,0.0895281189398836,0.107545045045045,0.2583333333333333,0.1518665158371041,0.1523809523809523,0.2583333333333333,94377107,94377107,1616.0999989509585,30.616130113601685,21,0.1648781728347732
