epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_uar,val_war,epoch_time_sec
1,2.074799100557963,0.165625,0.10734355836399509,2.06152480840683,0.1875,0.12525310710794582,0.10994740026998091,0.21875,0.1875,5.527580738067627
2,2.0220098972320555,0.3697916666666667,0.32991762035557914,1.9484506994485855,0.3458333333333333,0.2697265726455768,0.28135913780607563,0.328125,0.3458333333333333,4.674051761627197
3,1.8383429686228434,0.3875,0.35186360811277434,1.7834132760763168,0.3875,0.3566803306207493,0.3508293896991696,0.39453125,0.3875,4.800649166107178
4,1.6378457148869832,0.4395833333333333,0.4089043402543936,1.6754528880119324,0.3541666666666667,0.319952297694754,0.31360949489956147,0.375,0.3541666666666667,4.6185572147369385
5,1.5025164246559144,0.5,0.4809340640720048,1.6631124168634415,0.4,0.3722538893465467,0.3714297896619575,0.39453125,0.4,4.746478080749512
6,1.3538837472597758,0.44375,0.3630361253937136,2.112511470913887,0.3125,0.20341482970391062,0.21697581835083798,0.29296875,0.3125,4.696835994720459
7,1.2892701943715414,0.6177083333333333,0.5889954310013876,1.6165806204080582,0.37916666666666665,0.3107766409914688,0.33149508372423336,0.35546875,0.37916666666666665,4.638614177703857
8,1.1389752050240836,0.6135416666666667,0.6021478548052532,1.61856210231781,0.42916666666666664,0.3949491847294838,0.4010771101760958,0.421875,0.42916666666666664,4.608067035675049
9,1.0623494625091552,0.6927083333333334,0.6775679938776211,1.663993626832962,0.4083333333333333,0.3936469944166284,0.38877901626662587,0.41015625,0.4083333333333333,4.6207029819488525
10,0.9668120344479879,0.721875,0.7165051374369535,1.7058743983507156,0.4125,0.40524993898596495,0.4063406756591033,0.4140625,0.4125,4.627184152603149
11,0.8328713774681091,0.7291666666666666,0.7242580735184893,1.5696922689676285,0.45416666666666666,0.449902333119351,0.4518256465553779,0.45703125,0.45416666666666666,4.614237070083618
12,0.8012810289859772,0.7791666666666667,0.7713848554748861,1.6389921009540558,0.4166666666666667,0.3945563191106719,0.4023415551995315,0.41015625,0.4166666666666667,4.605934143066406
13,0.7327131628990173,0.7802083333333333,0.7664724858127558,1.8664487451314926,0.4,0.36624352046156067,0.3790655522604473,0.3828125,0.4,4.598695993423462
14,0.7320998956759771,0.51875,0.44707821550548577,3.1683810502290726,0.30833333333333335,0.2373993454875808,0.25322596852008616,0.2890625,0.30833333333333335,4.781691789627075
15,0.7093416889508565,0.6625,0.6136893548766703,2.628822401165962,0.35833333333333334,0.33786390900446195,0.3403881696047594,0.34765625,0.35833333333333334,4.5812718868255615
16,0.5910365660985311,0.7010416666666667,0.6798987774841642,1.6322344690561295,0.45,0.4241760684568905,0.42688369676497545,0.4765625,0.45,4.662799119949341
