model,model_key,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,uar,war,parameters,trainable_parameters,training_time_sec,inference_time_sec,best_epoch,best_val_macro_f1
WavLM,wavlm,0.6708333333333333,0.6922221644361233,0.68359375,0.663069939012646,0.6959460663076223,0.6708333333333333,0.6581517945959452,0.68359375,0.6708333333333333,94388088,94388088,12206.490410089493,65.06276774406433,40,0.7495227728881922
Wav2Vec2,wav2vec2,0.5,0.5671983656961268,0.5,0.4933183233892454,0.5783449234092018,0.5,0.4965765819855655,0.5,0.5,94377864,94377864,7023.377543926239,52.80619716644287,19,0.692577741661029
emotion2vec+,emotion2vec_plus,0.5,0.5671983656961268,0.5,0.4933183233892454,0.5783449234092018,0.5,0.4965765819855655,0.5,0.5,94377864,94377864,6893.121912240982,51.19036602973938,19,0.692577741661029
MFCC + CNN-BiLSTM,mfcc_cnn_bilstm,0.425,0.5105963344457279,0.421875,0.3984306322519116,0.5298212752606284,0.425,0.4063880232392484,0.421875,0.425,924488,924488,75.6233298778534,2.4633121490478516,11,0.449902333119351
BEATs,beats,0.3458333333333333,0.3082792207792207,0.32421875,0.2466335784012623,0.3288311688311688,0.3458333333333333,0.2630758169613465,0.32421875,0.3458333333333333,94388088,94388088,3010.1608612537384,56.263219356536865,10,0.2631826017120134
MFCC + LSTM,mfcc_lstm,0.3291666666666666,0.3257940966648832,0.30859375,0.2816790892848863,0.3475137031092087,0.3291666666666666,0.3004576952372121,0.30859375,0.3291666666666666,833544,833544,53.96113610267639,2.14961314201355,9,0.3583644001457153
HuBERT,hubert,0.325,0.2718531829050787,0.3046875,0.2116949698783836,0.289976728432084,0.325,0.2258079678702759,0.3046875,0.325,94377864,94377864,2865.1609988212585,50.56008815765381,7,0.356501459562939
Wav2Vec2-XLS-R-300M,wav2vec2_xlsr_300m,0.1333333333333333,0.0166666666666666,0.125,0.0294117647058823,0.0177777777777777,0.1333333333333333,0.0313725490196078,0.125,0.1333333333333333,315446920,315446920,3089.4349040985107,169.86566305160522,1,0.0294117647058823
