,precision,recall,f1-score,support
angry,0.16666666666666666,0.06666666666666667,0.09523809523809523,15.0
happy,0.13043478260869565,0.5,0.20689655172413793,12.0
neutral,0.7692307692307693,0.18181818181818182,0.29411764705882354,55.0
sad,0.3,0.5217391304347826,0.38095238095238093,23.0
accuracy,0.2761904761904762,0.2761904761904762,0.2761904761904762,0.2761904761904762
macro avg,0.3415830546265329,0.3175559947299078,0.2443011687433594,105.0
weighted avg,0.507361044752349,0.2761904761904762,0.2747590990419156,105.0
