,precision,recall,f1-score,support
angry,0.2736842105263158,0.8125,0.4094488188976378,32.0
disgust,0.38461538461538464,0.15625,0.2222222222222222,32.0
fear,0.5365853658536586,0.6875,0.6027397260273972,32.0
happy,0.64,0.5,0.5614035087719298,32.0
neutral,1.0,0.125,0.2222222222222222,16.0
sad,0.0,0.0,0.0,32.0
accuracy,0.4034090909090909,0.4034090909090909,0.4034090909090909,0.4034090909090909
macro avg,0.4724808268325598,0.3802083333333333,0.33633941635690157,176.0
weighted avg,0.4245245383627925,0.4034090909090909,0.3467137067327815,176.0
