,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,9,7,0,0,0,0,0,0
Calm,2,30,0,0,0,0,0,0
Happy,3,2,19,1,0,0,0,7
Sad,0,10,2,19,0,0,1,0
Angry,0,0,0,0,30,0,0,2
Fearful,0,0,4,4,2,22,0,0
Disgust,0,0,0,0,13,1,18,0
Surprised,0,0,1,1,1,1,0,28
