epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_uar,val_war,epoch_time_sec
1,2.09424382597208,0.06666666666666667,0.02384735495667138,2.095968854427338,0.058333333333333334,0.015625,0.008333333333333333,0.109375,0.058333333333333334,178.5117540359497
2,2.0878025139371554,0.071875,0.03406675809427049,2.0893515090147656,0.07083333333333333,0.035863454238347574,0.02954413343212686,0.1171875,0.07083333333333333,272.8981943130493
3,2.080729019145171,0.10416666666666667,0.062200557607767555,2.0790830850601196,0.10833333333333334,0.07919433266264253,0.07469617706237423,0.14453125,0.10833333333333334,253.0888729095459
4,2.0726999675234157,0.18541666666666667,0.1410088596506731,2.064775280157725,0.17916666666666667,0.1461324255381804,0.14183949952142746,0.19921875,0.17916666666666667,267.4067347049713
5,2.0649892528851828,0.2708333333333333,0.22946493573793258,2.047781503200531,0.225,0.18902344641695762,0.18855311408658484,0.23046875,0.225,270.30213809013367
6,2.0464585736393928,0.3770833333333333,0.3480810797480407,2.0228855907917023,0.3333333333333333,0.29627911276847446,0.3012162388048913,0.328125,0.3333333333333333,257.0682270526886
7,2.02082098176082,0.44479166666666664,0.40676646250842163,1.9807359735171,0.4041666666666667,0.35650145956293905,0.35893489020046837,0.39453125,0.4041666666666667,272.0912232398987
8,1.977244107425213,0.4114583333333333,0.34307658089260173,1.9023865699768066,0.4,0.30745266720588416,0.32794951168627645,0.375,0.4,248.2972469329834
9,1.8953275606036186,0.3885416666666667,0.31074976586645686,1.7976916591326395,0.3625,0.2554767377149143,0.27250852022924194,0.33984375,0.3625,238.58295035362244
10,1.792865368227164,0.39166666666666666,0.29647354223995903,1.6851244211196899,0.38333333333333336,0.2654567088627632,0.2831538227869474,0.359375,0.38333333333333336,204.75312113761902
11,1.6860230726500351,0.3927083333333333,0.31990240118450086,1.6257944504419963,0.38333333333333336,0.3031789445111914,0.3233908741452708,0.359375,0.38333333333333336,198.16903138160706
12,1.591258314748605,0.5104166666666666,0.4377976068103703,1.4972939749558767,0.4125,0.31842830357528445,0.3396568571469701,0.38671875,0.4125,196.3418698310852
