epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_uar,val_war,epoch_time_sec
1,1.94584947625796,0.25833333333333336,0.0,1.937097418308258,0.2,0.13117637298821969,0.1605110336817654,0.15714285714285717,0.2,73.01458287239075
2,1.939407217502594,0.19166666666666668,0.0,1.934911068280538,0.20833333333333334,0.13613079554195376,0.16221789437507164,0.16666666666666669,0.20833333333333334,73.94126486778259
3,1.9347427825133006,0.23333333333333334,0.0,1.9315435568491617,0.16666666666666666,0.10295815295815294,0.13008838383838384,0.13333333333333333,0.16666666666666666,74.45937371253967
4,1.9233007907867432,0.2875,0.0,1.9272972861925761,0.18333333333333332,0.13699884094620934,0.15703614799009538,0.1571428571428571,0.18333333333333332,73.22848796844482
5,1.9192857007185617,0.2625,0.0,1.9204275449117025,0.21666666666666667,0.14146220928829625,0.17711276646059254,0.17142857142857143,0.21666666666666667,70.85615587234497
6,1.8920482655366262,0.3416666666666667,0.0,1.9101326902707418,0.175,0.12341841216742869,0.15637820742069364,0.14285714285714285,0.175,70.53968691825867
7,1.8672198375066122,0.4083333333333333,0.0,1.8931027015050252,0.24166666666666667,0.1859559613319012,0.22521146616541354,0.20476190476190476,0.24166666666666667,72.8960611820221
8,1.8348645945390065,0.42916666666666664,0.0,1.8660785953203838,0.24166666666666667,0.14139103917429038,0.2013033661740558,0.19047619047619047,0.24166666666666667,69.81334495544434
9,1.75355673233668,0.49583333333333335,0.0,1.8361940026283263,0.25833333333333336,0.1828698644256374,0.24182931319061454,0.2095238095238095,0.25833333333333336,71.02634596824646
10,1.6608242750167848,0.5166666666666667,0.0,1.82644016345342,0.2,0.11161973120445308,0.15617790310176877,0.1761904761904762,0.2,72.50853610038757
11,1.5593662063280742,0.5791666666666667,0.0,1.815960439046224,0.21666666666666667,0.17658382501936945,0.20564721052831192,0.20476190476190476,0.21666666666666667,73.00699281692505
12,1.4235753734906516,0.575,0.0,1.7031006654103598,0.25833333333333336,0.20316261422380094,0.23627792574369816,0.24285714285714285,0.25833333333333336,73.17079091072083
13,1.2982091337442399,0.6333333333333333,0.0,1.774828298886617,0.26666666666666666,0.1974736569384217,0.22960763163930084,0.2571428571428571,0.26666666666666666,71.69188785552979
14,1.1399009346961975,0.7958333333333333,0.0,2.049812209606171,0.225,0.16073682236789916,0.15453360846080064,0.2476190476190476,0.225,72.56659412384033
15,0.967909787595272,0.8208333333333333,0.0,2.1073894063631693,0.19166666666666668,0.11620142309797481,0.11556513409961686,0.2095238095238095,0.19166666666666668,81.14069366455078
16,0.8022961467504501,0.8708333333333333,0.0,1.9629287521044414,0.2,0.1086589072577656,0.1377594706798132,0.19523809523809524,0.2,77.79970407485962
17,0.6843073293566704,0.9,0.0,2.183805447816849,0.18333333333333332,0.09509837241796004,0.11526235791699709,0.18571428571428572,0.18333333333333332,75.00364112854004
