epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_uar,val_war,epoch_time_sec
1,1.9545614500840505,0.11666666666666667,0.0,1.9763137499491374,0.125,0.031746031746031744,0.027777777777777776,0.14285714285714285,0.125,71.89590096473694
2,1.9519629259904225,0.12916666666666668,0.0,1.9756167848904929,0.125,0.031746031746031744,0.027777777777777776,0.14285714285714285,0.125,66.45883107185364
3,1.9524453103542327,0.14583333333333334,0.0,1.973893690109253,0.125,0.031746031746031744,0.027777777777777776,0.14285714285714285,0.125,65.65223026275635
4,1.9519040862719217,0.12083333333333333,0.0,1.9715718269348144,0.125,0.031746031746031744,0.027777777777777776,0.14285714285714285,0.125,69.92359709739685
5,1.9480693280696868,0.11666666666666667,0.0,1.9693084836006165,0.125,0.031746031746031744,0.027777777777777776,0.14285714285714285,0.125,73.85775995254517
6,1.9563050349553426,0.125,0.0,1.9667659878730774,0.125,0.031746031746031744,0.027777777777777776,0.14285714285714285,0.125,73.99901676177979
