,precision,recall,f1-score,support
angry,0.945054945054945,0.47513812154696133,0.6323529411764706,181.0
disgust,0.6410256410256411,0.27624309392265195,0.3861003861003861,181.0
fear,0.7384615384615385,0.26519337016574585,0.3902439024390244,181.0
happy,0.5418326693227091,0.7513812154696132,0.6296296296296297,181.0
neutral,0.6275862068965518,0.5870967741935483,0.6066666666666667,155.0
sad,0.3674418604651163,0.8729281767955801,0.5171849427168577,181.0
accuracy,0.5367924528301887,0.5367924528301887,0.5367924528301887,0.5367924528301887
macro avg,0.6435671435377504,0.5379967920156834,0.5270297447881725,1060.0
weighted avg,0.6439591287761194,0.5367924528301887,0.5250763863270018,1060.0
