model,accuracy,macro_f1,uar,war,weighted_f1,parameters,training_time_sec,best_val_macro_f1
HuBERT (Transfer from CREMAD),0.2583333333333333,0.0895281189398836,0.1523809523809523,0.2583333333333333,0.1518665158371041,94377107,1616.0999989509585,0.1648781728347732
HuBERT (Transfer from CREMAD),0.4583333333333333,0.3418742699594112,0.3809523809523809,0.4583333333333333,0.3780873546355375,94377107,830.7152948379517,0.1256053268765133
WavLM (Transfer from CREMAD),0.4916666666666666,0.375261348917378,0.4619047619047619,0.4916666666666666,0.4188709216820162,94387331,934.157648086548,0.0942616547931508
