emotion,precision,recall,f1_score,support
neutral,0.8571428571428571,0.7741935483870968,0.8135593220338984,155
happy,0.8120805369127517,0.6685082872928176,0.7333333333333333,181
sad,0.7403314917127072,0.7403314917127072,0.7403314917127072,181
angry,0.8611111111111112,0.856353591160221,0.8587257617728532,181
fearful,0.5791505791505791,0.8287292817679558,0.6818181818181818,181
disgust,0.8013245033112583,0.6685082872928176,0.7289156626506024,181
macro avg,0.7751901798902109,0.756104081268936,0.7594472922202627,1060
weighted avg,0.773180019882127,0.7556603773584906,0.7581200160172867,1060
