model,model_key,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,uar,war,parameters,trainable_parameters,training_time_sec,inference_time_sec,best_epoch,best_val_macro_f1
MFCC + LSTM,mfcc_lstm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,833287,833287,54.96851897239685,11.743322134017944,5,1.0
MFCC + CNN-BiLSTM,mfcc_cnn_bilstm,0.9976190476190476,0.9976580796252928,0.9976190476190476,0.9976188822636493,0.9976580796252928,0.9976190476190476,0.9976188822636493,0.9976190476190476,0.9976190476190476,924231,924231,157.71464800834656,15.579243898391724,4,1.0
Wav2Vec2-XLS-R-300M,wav2vec2_xlsr_300m,0.1976190476190476,0.0581888138204148,0.1976190476190476,0.0885924602774456,0.0581888138204148,0.1976190476190476,0.0885924602774456,0.1976190476190476,0.1976190476190476,315445895,7175,2314.449590921402,148.86885285377502,4,0.0883751389194043
Wav2Vec2,wav2vec2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,94377095,94377095,2689.163618087769,79.98937487602234,5,1.0
HuBERT,hubert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,94377095,94377095,2985.2019221782684,81.31251215934753,8,1.0
WavLM,wavlm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,94387319,94387319,4183.4600481987,83.412358045578,13,1.0
emotion2vec+,emotion2vec_plus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,94377095,94377095,2707.6034648418427,80.53929305076599,5,1.0
BEATs,beats,0.9976190476190476,0.9976580796252928,0.9976190476190476,0.9976188822636493,0.9976580796252928,0.9976190476190476,0.9976188822636493,0.9976190476190476,0.9976190476190476,94387319,94387319,3701.238781929016,84.1983540058136,11,0.995217417405399
