epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_uar,val_war,epoch_time_sec
1,1.9655729373296102,0.1125,0.0,1.964461886882782,0.1,0.055637116506681725,0.04868247694334651,0.1142857142857143,0.1,61.0959210395813
2,1.9583603541056316,0.12083333333333333,0.0,1.9613544861475627,0.1,0.055650319829424304,0.04869402985074626,0.1142857142857143,0.1,59.68696713447571
3,1.959261461098989,0.125,0.0,1.9554556608200073,0.11666666666666667,0.07439613526570048,0.06509661835748791,0.13333333333333333,0.11666666666666667,59.775471210479736
4,1.9534795463085175,0.13333333333333333,0.0,1.9481146772702536,0.11666666666666667,0.06847373095579697,0.05991451458632234,0.13333333333333333,0.11666666666666667,58.994717836380005
5,1.9467604080835978,0.1625,0.0,1.9383010427157084,0.15833333333333333,0.10428859426267446,0.11331134350925194,0.16666666666666666,0.15833333333333333,59.60728192329407
6,1.9356314222017923,0.20416666666666666,0.0,1.9288495143254598,0.225,0.17820197044334976,0.20592672413793103,0.21904761904761902,0.225,57.422873973846436
7,1.9195530672868093,0.29583333333333334,0.0,1.9143852512041728,0.3416666666666667,0.24094965961354875,0.2914761134521777,0.2952380952380952,0.3416666666666667,58.396984815597534
8,1.9029400904973348,0.36666666666666664,0.0,1.8989843765894572,0.4083333333333333,0.26189003320836873,0.3207030748319705,0.34285714285714286,0.4083333333333333,59.41854786872864
9,1.894650512933731,0.4,0.0,1.880584748586019,0.44166666666666665,0.2925861071509742,0.3553279122502531,0.36666666666666664,0.44166666666666665,58.702521085739136
10,1.8615210473537445,0.4583333333333333,0.0,1.842342527707418,0.45,0.29229091729091733,0.3519083987833988,0.3714285714285714,0.45,57.78322196006775
11,1.8104676683743794,0.45,0.0,1.7665852109591167,0.5083333333333333,0.3694353694353695,0.4194097944097944,0.43809523809523804,0.5083333333333333,58.95401692390442
12,1.7065497199694315,0.55,0.0,1.6787834286689758,0.475,0.34575251234213883,0.40327971695608783,0.4142857142857143,0.475,62.41427206993103
13,1.5553821583588918,0.55,0.0,1.6049039840698243,0.36666666666666664,0.2879157257308518,0.3288493369375723,0.3428571428571429,0.36666666666666664,62.36928081512451
14,1.3853335271279017,0.6083333333333333,0.0,1.5946166495482126,0.43333333333333335,0.3350647891598347,0.37954532687849174,0.40476190476190477,0.43333333333333335,60.82107090950012
15,1.306499973932902,0.6791666666666667,0.0,1.5361997723579406,0.4666666666666667,0.3768862310215694,0.4047754521438732,0.46190476190476193,0.4666666666666667,60.72683811187744
16,1.1928628797332446,0.6791666666666667,0.0,1.5418905854225158,0.35833333333333334,0.31555849160107285,0.3372247912620498,0.35714285714285715,0.35833333333333334,58.45562791824341
17,1.0983929256598155,0.7416666666666667,0.0,1.721374793847402,0.2833333333333333,0.22590702947845803,0.25322420634920634,0.27619047619047615,0.2833333333333333,59.701905727386475
18,1.0128867136935393,0.7625,0.0,1.8063562572002412,0.26666666666666666,0.21193204913191935,0.23657690662679307,0.2619047619047619,0.26666666666666666,59.322712659835815
19,0.8557559584577878,0.7791666666666667,0.0,2.08190855383873,0.24166666666666667,0.18606796429377076,0.19486075080833146,0.2523809523809524,0.24166666666666667,61.75302720069885
20,0.8448190023501714,0.8166666666666667,0.0,1.9095906207958857,0.26666666666666666,0.22681485944827223,0.2411459288465065,0.2714285714285714,0.26666666666666666,59.13366913795471
