epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_uar,val_war,epoch_time_sec
1,1.9604039430618285,0.07083333333333333,0.0,1.9711084723472596,0.125,0.032467532467532464,0.028409090909090908,0.14285714285714285,0.125,78.43565487861633
2,1.9544755260149638,0.1,0.0,1.9671164155006409,0.125,0.032467532467532464,0.028409090909090908,0.14285714285714285,0.125,66.77876496315002
3,1.9438376088937124,0.1125,0.0,1.9622658212979636,0.125,0.032467532467532464,0.028409090909090908,0.14285714285714285,0.125,63.53544211387634
4,1.9384729743003846,0.12083333333333333,0.0,1.9548120975494385,0.125,0.03296703296703297,0.028846153846153848,0.14285714285714285,0.125,59.942461013793945
5,1.9161953628063202,0.20416666666666666,0.0,1.9460346897443135,0.13333333333333333,0.05057251908396947,0.044250954198473275,0.15238095238095237,0.13333333333333333,59.31802177429199
6,1.891245808204015,0.325,0.0,1.9326304833094279,0.14166666666666666,0.05947833678926116,0.05961930226636109,0.15714285714285717,0.14166666666666666,58.83333897590637
7,1.8600128849347433,0.4166666666666667,0.0,1.9357679963111878,0.14166666666666666,0.05921051312436213,0.05938495655957444,0.15714285714285717,0.14166666666666666,60.86922287940979
8,1.8117592414220174,0.45,0.0,1.9073326071103414,0.19166666666666668,0.10253302330183546,0.1323993222183743,0.18571428571428572,0.19166666666666668,65.548091173172
9,1.7697739581267038,0.5333333333333333,0.0,1.915477736790975,0.175,0.09136343441392894,0.11199428716346989,0.1761904761904762,0.175,62.27283215522766
10,1.7173605620861054,0.5208333333333334,0.0,1.9400261004765829,0.15,0.06082169709989259,0.07295582706766916,0.15714285714285717,0.15,63.091732025146484
11,1.656889816125234,0.5791666666666667,0.0,1.9106505235036215,0.2,0.09812409812409813,0.1369949494949495,0.18571428571428572,0.2,63.40425682067871
12,1.6121480027834574,0.6291666666666667,0.0,1.9642202774683635,0.18333333333333332,0.09669606709080393,0.11092484817813766,0.19047619047619047,0.18333333333333332,64.46639204025269
13,1.5772860884666442,0.6125,0.0,1.954927961031596,0.21666666666666667,0.12396845772969008,0.15115532734274711,0.21428571428571427,0.21666666666666667,64.79974126815796
14,1.4742835263411205,0.65,0.0,1.9635711709658306,0.18333333333333332,0.11016525216461677,0.12271038511772388,0.19047619047619047,0.18333333333333332,66.61851501464844
15,1.4415115118026733,0.7041666666666667,0.0,1.8271296739578247,0.24166666666666667,0.16323640127987954,0.20261445981554674,0.22380952380952382,0.24166666666666667,65.85849714279175
16,1.3844833920399349,0.725,0.0,1.9123560587565105,0.21666666666666667,0.13004271476032273,0.16611295681063123,0.20476190476190476,0.21666666666666667,66.33519625663757
17,1.3382327536741891,0.7791666666666667,0.0,2.0379142284393312,0.19166666666666668,0.1086589072577656,0.1377594706798132,0.18571428571428572,0.19166666666666668,66.00653314590454
18,1.2547432750463485,0.7916666666666666,0.0,1.979741738239924,0.21666666666666667,0.11964620216616668,0.1602459824509514,0.19999999999999998,0.21666666666666667,65.7336220741272
19,1.1723394870758057,0.8625,0.0,2.1181689778963726,0.175,0.09273182957393485,0.11319163292847503,0.1761904761904762,0.175,65.02435684204102
20,1.1491568068663278,0.8416666666666667,0.0,2.0024714251359303,0.225,0.12832988267770876,0.1733997584541063,0.20476190476190476,0.225,64.14215278625488
21,1.0974130262931188,0.875,0.0,1.9292405585447947,0.23333333333333334,0.1648781728347732,0.19188744884947412,0.22857142857142856,0.23333333333333334,60.54857587814331
22,1.0397546410560607,0.8916666666666667,0.0,2.1310364603996277,0.19166666666666668,0.10447528034177586,0.13409879712832218,0.18571428571428572,0.19166666666666668,62.02698087692261
23,0.9747407863537471,0.875,0.0,2.0774667700131735,0.225,0.1606488749345892,0.18818681318681316,0.21904761904761902,0.225,60.50980520248413
24,0.9208914523323377,0.9208333333333333,0.0,2.1430529336134594,0.19166666666666668,0.11715035339473122,0.1400065592203898,0.19047619047619047,0.19166666666666668,61.62040090560913
25,0.8899244422713916,0.925,0.0,2.1756273210048676,0.2,0.11224489795918367,0.14583333333333334,0.19047619047619047,0.2,61.32638907432556
