epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_uar,val_war,epoch_time_sec
1,1.9473683444821104,0.12755102040816327,0.0,1.9475773902166458,0.12380952380952381,0.055747199189822134,0.05574719918982214,0.12380952380952381,0.12380952380952381,318.68297028541565
2,1.9437598184663423,0.1336734693877551,0.0,1.939728948048183,0.1523809523809524,0.06858311438875477,0.06858311438875477,0.15238095238095237,0.1523809523809524,234.23828101158142
3,1.9328043088621023,0.16122448979591836,0.0,1.923943473043896,0.22380952380952382,0.15538014276035803,0.155380142760358,0.22380952380952385,0.22380952380952382,228.11101698875427
4,1.897443577464746,0.36122448979591837,0.0,1.8503017232531593,0.6666666666666666,0.6293660185077166,0.6293660185077165,0.6666666666666667,0.6666666666666666,225.93152117729187
5,1.6541850953685995,0.575,0.0,1.3394127255394346,0.7238095238095238,0.6780138494566073,0.6780138494566071,0.7238095238095238,0.7238095238095238,223.68372797966003
6,1.1916339806147984,0.7857142857142857,0.0,0.8817092657089234,0.8928571428571429,0.8898676774095163,0.8898676774095164,0.8928571428571429,0.8928571428571429,225.71123099327087
7,0.8128852376524283,0.923469387755102,0.0,0.49959951979773387,0.9809523809523809,0.9809978350314486,0.9809978350314484,0.9809523809523809,0.9809523809523809,222.65578079223633
8,0.4655101293203782,0.9816326530612245,0.0,0.22789409785043627,0.9857142857142858,0.985759400674655,0.9857594006746548,0.9857142857142858,0.9857142857142858,220.1772379875183
9,0.24948149209423942,0.9908163265306122,0.0,0.10831412715571268,0.9928571428571429,0.9928558197382872,0.9928558197382871,0.9928571428571429,0.9928571428571429,217.0745711326599
10,0.1093089146577582,0.996938775510204,0.0,0.07947250805085614,0.9880952380952381,0.9880745341614906,0.9880745341614907,0.988095238095238,0.9880952380952381,217.56351375579834
11,0.06540479378356617,0.9959183673469387,0.0,0.040128401454005924,0.9952380952380953,0.995217417405399,0.9952174174053988,0.9952380952380953,0.9952380952380953,220.94491386413574
12,0.04486167222565534,0.996938775510204,0.0,0.05897370144015267,0.9880952380952381,0.9879243415820881,0.987924341582088,0.988095238095238,0.9880952380952381,217.79829502105713
13,0.026599881429301232,1.0,0.0,0.05073231016063974,0.9880952380952381,0.9879625789435779,0.9879625789435778,0.988095238095238,0.9880952380952381,220.84751677513123
14,0.023164177577638504,0.9994897959183674,0.0,0.06358875561771649,0.9880952380952381,0.9879998874006269,0.9879998874006269,0.988095238095238,0.9880952380952381,220.2664918899536
15,0.01985874313633053,0.9984693877551021,0.0,0.0362663383506948,0.9928571428571429,0.9928558197382872,0.9928558197382871,0.9928571428571429,0.9928571428571429,219.67451286315918
16,0.01739528477001859,0.9974489795918368,0.0,0.0964511095102699,0.9833333333333333,0.9832764267298446,0.9832764267298446,0.9833333333333333,0.9833333333333333,219.90292882919312
