epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_uar,val_war,epoch_time_sec
1,2.079851287603378,0.13125,0.04662554625908602,2.078706912199656,0.10833333333333334,0.036826599326599326,0.03928170594837262,0.1015625,0.10833333333333334,200.55471515655518
2,2.0808387314279875,0.13854166666666667,0.05324809616314172,2.0778454462687175,0.1125,0.04601661779081134,0.04908439231019877,0.10546875,0.1125,199.29102897644043
3,2.0753178973992665,0.140625,0.055622867139933196,2.0763111929098765,0.125,0.06224823586549724,0.06639811825653039,0.1171875,0.125,199.77352809906006
4,2.076345713933309,0.146875,0.06262080318418745,2.0742943743864695,0.12916666666666668,0.07056779649658906,0.07527231626302834,0.12109375,0.12916666666666668,197.73682618141174
5,2.0737046961983046,0.159375,0.07726746334697832,2.0712197442849476,0.125,0.06992069419253885,0.07458207380537478,0.1171875,0.125,196.48709893226624
6,2.071220036347707,0.17708333333333334,0.10375836914361129,2.0681687812010447,0.15833333333333333,0.10817328956863839,0.11538484220654761,0.1484375,0.15833333333333333,198.35378909111023
7,2.067419104774793,0.20729166666666668,0.14378636147015347,2.0635988116264343,0.19166666666666668,0.1368527413308341,0.1459762574195564,0.1796875,0.19166666666666668,197.20350909233093
8,2.0628647531072297,0.2677083333333333,0.20536528748451816,2.0571824928124745,0.24583333333333332,0.1821030700661701,0.19424327473724812,0.23046875,0.24583333333333332,196.12288784980774
9,2.0539351001381876,0.35208333333333336,0.2984330968219546,2.0472878475983936,0.26666666666666666,0.20988430209197784,0.22387658889810969,0.25,0.26666666666666666,193.71607303619385
10,2.0399632940689725,0.37916666666666665,0.3021967912772233,2.0277554512023928,0.3375,0.26318260171201346,0.2807281084928144,0.31640625,0.3375,193.31491899490356
11,2.0059847593307496,0.3416666666666667,0.22673909224905672,1.9513489504655201,0.37083333333333335,0.24215084035472173,0.25088682230429576,0.3515625,0.37083333333333335,198.36401796340942
12,1.8958556175231933,0.36354166666666665,0.22235404155537722,1.8189119656880697,0.37916666666666665,0.22722351674557556,0.2423717511952806,0.35546875,0.37916666666666665,198.0338900089264
13,1.8054919044176738,0.365625,0.24221009761375256,1.7648279150327046,0.35,0.21732811833655627,0.23181665955899336,0.328125,0.35,199.58059191703796
14,1.724373960494995,0.42916666666666664,0.2979152302154332,1.721401031812032,0.36666666666666664,0.24806343255138436,0.26460099472147663,0.34375,0.36666666666666664,197.2648298740387
15,1.6661165212591489,0.4666666666666667,0.34751795372469957,1.639484253525734,0.375,0.26204415069112946,0.27951376073720474,0.3515625,0.375,196.73008394241333
