model,model_key,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,uar,war,parameters,trainable_parameters,training_time_sec,inference_time_sec,best_epoch,best_val_macro_f1
HuBERT (Transfer from CREMAD),hubert,0.7291666666666666,0.7439119173083404,0.7109375,0.7119136757766851,0.7546171562400076,0.7291666666666666,0.7260412541617974,0.7109375,0.7291666666666666,94377876,94377876,4678.163365840912,62.42288899421692,25,0.6961253119921058
Wav2Vec2 (Transfer from CREMAD),wav2vec2,0.675,0.6811109954834124,0.66015625,0.6595212302559161,0.6876295062934176,0.675,0.670155978939644,0.66015625,0.675,94377876,94377876,5802.157499074936,58.91630792617798,23,0.6894645915954234
WavLM (Transfer from CREMAD),wavlm,0.6666666666666666,0.69552764486975,0.6640625,0.6505243534177728,0.7115931242247032,0.6666666666666666,0.6588049243473787,0.6640625,0.6666666666666666,94388100,94388100,5119.314920902252,72.34477305412292,22,0.6787709776440316
