emotion,precision,recall,f1_score,support
anger,0.42857142857142855,0.8,0.5581395348837209,15
disgust,0.0,0.0,0.0,15
fear,0.45,0.6,0.5142857142857142,15
happiness,1.0,0.2,0.3333333333333333,15
neutral,0.6122448979591837,1.0,0.759493670886076,30
sadness,0.3684210526315789,0.4666666666666667,0.4117647058823529,15
surprise,1.0,0.06666666666666667,0.125,15
macro avg,0.5513196255945987,0.44761904761904764,0.3860024227530282,120
weighted avg,0.558935284640172,0.5166666666666667,0.43268882876965914,120
