epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_uar,val_war,epoch_time_sec
1,1.950329130766343,0.14234693877551022,0.0,1.935869726680574,0.14285714285714285,0.09996276271578429,0.09996276271578429,0.14285714285714285,0.14285714285714285,307.3883819580078
2,1.9155049153736659,0.2423469387755102,0.0,1.8642929292860486,0.6523809523809524,0.638439867206251,0.6384398672062511,0.6523809523809524,0.6523809523809524,228.38868880271912
3,1.7901442941354246,0.5423469387755102,0.0,1.4606762602215722,0.8452380952380952,0.8305145078937122,0.8305145078937122,0.8452380952380951,0.8452380952380952,229.49396300315857
4,1.2960027947717783,0.7494897959183674,0.0,0.6424529935632434,0.8261904761904761,0.8050476500593569,0.805047650059357,0.8261904761904761,0.8261904761904761,221.87733387947083
5,0.7291969214471019,0.8923469387755102,0.0,0.21250760037274588,0.9857142857142858,0.9856784819190835,0.9856784819190834,0.9857142857142858,0.9857142857142858,221.53148794174194
6,0.40430128689931366,0.9510204081632653,0.0,0.060132891755728494,0.9952380952380953,0.9952367721192396,0.9952367721192394,0.9952380952380953,0.9952380952380953,216.7912209033966
7,0.22724816125950642,0.9698979591836735,0.0,0.029019346948535668,0.9952380952380953,0.9952367721192396,0.9952367721192394,0.9952380952380953,0.9952380952380953,221.4355878829956
8,0.13098629948169904,0.986734693877551,0.0,0.007056242968177511,1.0,1.0,1.0,1.0,1.0,218.75729370117188
9,0.06627192306237258,0.9918367346938776,0.0,0.003153372702321836,1.0,1.0,1.0,1.0,1.0,218.63817691802979
10,0.044436763018863845,0.9933673469387755,0.0,0.0017297981595177027,1.0,1.0,1.0,1.0,1.0,217.02491402626038
11,0.02920642332078851,0.9948979591836735,0.0,0.005670493848932286,0.9976190476190476,0.9976188822636493,0.9976188822636491,0.9976190476190476,0.9976190476190476,215.7338387966156
12,0.03674155947258126,0.9938775510204082,0.0,0.0007636478253906327,1.0,1.0,1.0,1.0,1.0,218.96780586242676
13,0.02231174055653225,0.9959183673469387,0.0,0.0005641133948561869,1.0,1.0,1.0,1.0,1.0,218.2980432510376
