model,model_key,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,uar,war,parameters,trainable_parameters,training_time_sec,inference_time_sec,best_epoch,best_val_macro_f1
HuBERT,hubert,0.719811320754717,0.7508033331866123,0.7203409968514228,0.7209338783694625,0.7475211507930765,0.719811320754717,0.7188223922347976,0.7203409968514228,0.719811320754717,94376326,94376326,16092.918454170229,201.3818769454956,8,0.6099572437380629
Wav2Vec2,wav2vec2,0.6924528301886792,0.7348908288426519,0.692865205251589,0.6982367464585789,0.732781279755689,0.6924528301886792,0.696691244444117,0.692865205251589,0.6924528301886792,94376326,94376326,7423.679640054703,206.1304397583008,5,0.6382588111762196
emotion2vec+,emotion2vec_plus,0.6924528301886792,0.7348908288426519,0.692865205251589,0.6982367464585789,0.732781279755689,0.6924528301886792,0.696691244444117,0.692865205251589,0.6924528301886792,94376326,94376326,9304.806258916857,236.93021607398987,5,0.6382588111762196
WavLM,wavlm,0.6632075471698113,0.6882902894635232,0.6644745440503773,0.6584099387087856,0.6850051665845363,0.6632075471698113,0.655782778454603,0.6644745440503773,0.6632075471698113,94386550,94386550,6089.1631071567535,249.09984827041623,7,0.5775131987528647
MFCC + CNN-BiLSTM,mfcc_cnn_bilstm,0.6330188679245283,0.6556188859439745,0.6323828194617716,0.6392173293137915,0.6524862674231033,0.6330188679245283,0.6381278058304077,0.6323828194617716,0.6330188679245283,923974,923974,723.1565141677856,35.68382000923157,13,0.5394739570862005
BEATs,beats,0.6264150943396226,0.6476544488632924,0.6288718588486901,0.6189683994202337,0.6450623252819517,0.6264150943396226,0.6159755735847943,0.6288718588486901,0.6264150943396226,94386550,94386550,39911.67545127869,276.31385135650635,8,0.4956277912263325
MFCC + LSTM,mfcc_lstm,0.5962264150943396,0.613958572048333,0.5969345927642131,0.599932562308696,0.6133650037559735,0.5962264150943396,0.5991479200382394,0.5969345927642131,0.5962264150943396,833030,833030,602.419862985611,29.58735728263855,17,0.5163073953815007
Wav2Vec2-XLS-R-300M,wav2vec2_xlsr_300m,0.2443396226415094,0.0979909067104668,0.2384898710865561,0.1346093993152816,0.1003944572524216,0.2443396226415094,0.1379111392984867,0.2384898710865561,0.2443396226415094,315444870,6150,6919.488762140274,477.9969871044159,3,0.1263127622861768
