,angry,disgust,fear,happy,neutral,sad
angry,48,11,0,1,0,0
disgust,10,50,0,0,0,0
fear,6,8,21,25,0,0
happy,9,32,2,17,0,0
neutral,41,19,0,0,0,0
sad,3,53,0,0,0,4
