,precision,recall,f1-score,support
angry,0.41025641025641024,0.8,0.5423728813559322,60.0
disgust,0.28901734104046245,0.8333333333333334,0.4291845493562232,60.0
fear,0.9130434782608695,0.35,0.5060240963855421,60.0
happy,0.3953488372093023,0.2833333333333333,0.3300970873786408,60.0
neutral,0.0,0.0,0.0,60.0
sad,1.0,0.06666666666666667,0.125,60.0
accuracy,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889
macro avg,0.5012776777945074,0.3888888888888889,0.32211310241272306,360.0
weighted avg,0.5012776777945074,0.3888888888888889,0.32211310241272306,360.0
