,angry,disgust,fear,happy,neutral,sad
angry,11,0,3,1,0,0
disgust,5,3,0,2,4,1
fear,7,0,6,1,0,1
happy,10,0,0,4,1,0
neutral,0,0,0,0,30,0
sad,0,1,0,1,12,1
