,precision,recall,f1-score,support
angry,0.3333333333333333,0.7333333333333333,0.4583333333333333,15.0
disgust,0.75,0.2,0.3157894736842105,15.0
fear,0.6666666666666666,0.4,0.5,15.0
happy,0.4444444444444444,0.26666666666666666,0.3333333333333333,15.0
neutral,0.6382978723404256,1.0,0.7792207792207793,30.0
sad,0.3333333333333333,0.06666666666666667,0.1111111111111111,15.0
accuracy,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238
macro avg,0.5276792750197006,0.4444444444444445,0.4162980051137946,105.0
weighted avg,0.5434819317798042,0.5238095238095238,0.4681441157005067,105.0
