model,angry,calm,disgust,fearful,happy,neutral,sad,surprised
BEATs,0.3943661971830985,0.5714285714285714,0.2608695652173913,0.1538461538461538,0.0,0.0,0.2325581395348837,0.36
HuBERT,0.5283018867924528,0.6593406593406593,0.0,0.2162162162162162,0.2325581395348837,0.0,0.0,0.0571428571428571
MFCC + CNN-BiLSTM,0.5909090909090909,0.35,0.3859649122807017,0.3333333333333333,0.2962962962962963,0.2790697674418604,0.3636363636363636,0.5882352941176471
MFCC + LSTM,0.4912280701754385,0.4210526315789473,0.2682926829268293,0.425531914893617,0.0869565217391304,0.0,0.0975609756097561,0.4628099173553719
Wav2Vec2,0.7466666666666667,0.6428571428571429,0.5106382978723404,0.3809523809523809,0.3209876543209876,0.4444444444444444,0.5,0.4
Wav2Vec2-XLS-R-300M,0.0,0.0,0.0,0.0,0.2352941176470588,0.0,0.0,0.0
WavLM,0.6741573033707865,0.7714285714285715,0.631578947368421,0.7450980392156863,0.4,0.7368421052631579,0.5454545454545454,0.8
emotion2vec+,0.7466666666666667,0.6428571428571429,0.5106382978723404,0.3809523809523809,0.3209876543209876,0.4444444444444444,0.5,0.4
