model,model_key,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,uar,war,parameters,trainable_parameters,training_time_sec,inference_time_sec,best_epoch,best_val_macro_f1
MFCC + LSTM,mfcc_lstm,0.125,0.0178571428571428,0.1428571428571428,0.0317460317460317,0.015625,0.125,0.0277777777777777,0.1428571428571428,0.125,833287,833287,16.70345377922058,3.3823161125183105,3,0.3604094237906466
MFCC + CNN-BiLSTM,mfcc_cnn_bilstm,0.25,0.0357142857142857,0.1428571428571428,0.0571428571428571,0.0625,0.25,0.1,0.1428571428571428,0.25,924231,924231,29.71499300003052,4.7634313106536865,2,0.2451013175751852
Wav2Vec2-XLS-R-300M,wav2vec2_xlsr_300m,0.125,0.0178571428571428,0.1428571428571428,0.0317460317460317,0.015625,0.125,0.0277777777777777,0.1428571428571428,0.125,315445895,7175,431.6975359916687,49.769038915634155,1,0.0317460317460317
Wav2Vec2,wav2vec2,0.2583333333333333,0.1791767554479419,0.1523809523809523,0.0757722007722007,0.1885593220338983,0.2583333333333333,0.1169763513513513,0.1523809523809523,0.2583333333333333,94377095,94377095,1236.9347052574158,22.659257173538208,12,0.2031626142238009
HuBERT,hubert,0.2583333333333333,0.182175622542595,0.1523809523809523,0.0795220966084275,0.1938073394495413,0.2583333333333333,0.1235386690647482,0.1523809523809523,0.2583333333333333,94377095,94377095,1242.2680497169497,23.178303003311157,15,0.3768862310215694
WavLM,wavlm,0.25,0.042016806722689,0.1428571428571428,0.0649350649350649,0.0735294117647058,0.25,0.1136363636363636,0.1428571428571428,0.25,94387319,94387319,1405.6049542427063,28.204041957855225,17,0.4088617940544918
emotion2vec+,emotion2vec_plus,0.2583333333333333,0.1791767554479419,0.1523809523809523,0.0757722007722007,0.1885593220338983,0.2583333333333333,0.1169763513513513,0.1523809523809523,0.2583333333333333,94377095,94377095,1277.2536931037905,23.82760334014893,12,0.2031626142238009
BEATs,beats,0.25,0.0424328147100424,0.1428571428571428,0.0654307524536532,0.0742574257425742,0.25,0.1145038167938931,0.1428571428571428,0.25,94387319,94387319,1818.9382569789889,28.047269821166992,23,0.3680232326848868
