model,accuracy,macro_f1,uar,war,weighted_f1,parameters,training_time_sec,best_val_macro_f1
MFCC + LSTM,0.125,0.0317460317460317,0.1428571428571428,0.125,0.0277777777777777,833287,16.70345377922058,0.3604094237906466
MFCC + CNN-BiLSTM,0.25,0.0571428571428571,0.1428571428571428,0.25,0.1,924231,29.71499300003052,0.2451013175751852
Wav2Vec2-XLS-R-300M,0.125,0.0317460317460317,0.1428571428571428,0.125,0.0277777777777777,315445895,431.6975359916687,0.0317460317460317
Wav2Vec2,0.2583333333333333,0.0757722007722007,0.1523809523809523,0.2583333333333333,0.1169763513513513,94377095,1236.9347052574158,0.2031626142238009
HuBERT,0.2583333333333333,0.0795220966084275,0.1523809523809523,0.2583333333333333,0.1235386690647482,94377095,1242.2680497169497,0.3768862310215694
WavLM,0.25,0.0649350649350649,0.1428571428571428,0.25,0.1136363636363636,94387319,1405.6049542427063,0.4088617940544918
emotion2vec+,0.2583333333333333,0.0757722007722007,0.1523809523809523,0.2583333333333333,0.1169763513513513,94377095,1277.2536931037905,0.2031626142238009
BEATs,0.25,0.0654307524536532,0.1428571428571428,0.25,0.1145038167938931,94387319,1818.9382569789889,0.3680232326848868
