emotion,precision,recall,f1_score,support
anger,0.0,0.0,0.0,15
disgust,0.0,0.0,0.0,15
fear,0.0,0.0,0.0,15
happiness,0.0,0.0,0.0,15
neutral,0.26785714285714285,1.0,0.4225352112676056,30
sadness,0.0,0.0,0.0,15
surprise,0.0,0.0,0.0,15
macro avg,0.03826530612244898,0.14285714285714285,0.060362173038229376,120
weighted avg,0.06696428571428571,0.25,0.1056338028169014,120
