,Anger,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
Anger,0,1,0,0,14,0,0
Disgust,0,0,0,0,15,0,0
Fear,0,1,0,0,13,1,0
Happiness,0,1,0,0,14,0,0
Neutral,0,0,0,0,30,0,0
Sadness,0,0,0,0,15,0,0
Surprise,0,2,0,0,11,2,0
